"id","nombre","direccion","email","telefono","tipo_de_producto"
"1","Miller and Sons","8429 Brennan Burg Larsonland  IA 64541","bperez@example.org","001-686-737-9893x4951","Electronica"
"2","Rodriguez PLC","18355 Cruz Island Suite 634 Andrewburgh  UT 31411","frederickmanuel@example.com","950.681.0551x44386","Belleza"
"3","Cameron-Hanson","13625 Howell Oval Apt. 081 East Dwayne  MD 92602","juliaknight@example.com","001-282-410-8130x4972","Electronica"
"4","Peck-Thomas","124 Nicole Ways Aliceside  WI 34057","meyersmary@example.org","001-531-995-4543","Herramientas"
"5","Obrien  Lee and Howard","9989 Ruiz Keys West Leroy  PA 95762","joshua13@example.com","(449)555-2361x581","Muebles"
"6","Garza-Howard","USNV Casey FPO AA 20341","james16@example.org","935-515-8847x0238","Alimentos"
"7","Frederick  Jensen and Porter","1939 Aaron Mount Mckayburgh  CA 79179","kweaver@example.com","553-911-1556","Herramientas"
"8","Silva Group","94710 Jacob Coves North Craigtown  DC 64031","william22@example.org","+1-478-640-6878","Jardineria"
"9","Bond  Ortiz and Bennett","USNV Barnes FPO AP 26497","lisa29@example.org","+1-466-298-3134x68067","Ropa"
"10","Martin-Peterson","359 Johnston Garden Lake Priscilla  SD 67389","scottlogan@example.org","001-671-335-6258","Deportes"
"11","Lopez  Johnson and Harris","850 Bradley Squares Apt. 299 Michaelburgh  DC 51401","samantha19@example.org","001-245-254-8917x022","Belleza"
"12","Joseph Ltd","48127 Joy Port Lake Sandra  MT 91582","zachary08@example.com","7649056637","Jardineria"
"13","Houston  Thompson and Nelson","8249 Cheryl Meadows Lewisfurt  GU 63882","brownalexander@example.org","(756)712-2824x60273","Juguetes"
"14","Jenkins-Hanson","81610 Marquez Terrace Suite 258 Port Amber  TN 41041","riosvicki@example.com","+1-988-229-5084x420","Electronica"
"15","Melton  Martin and Strickland","1169 Brendan Glen Shawport  SD 15197","andersonjennifer@example.org","904-723-5911x17752","Muebles"
"16","Leonard Ltd","7637 Amanda Ford Suite 910 New Josephmouth  MN 32197","vincentwheeler@example.org","(725)271-1507","Alimentos"
"17","Pierce-Bautista","7853 Robert Mall Apt. 454 Jacobberg  ID 09717","wingram@example.org","675-805-8002x3896","Muebles"
"18","Ramsey-Woods","31239 Hart Meadows Port Kaitlyntown  IN 88999","patriciacoleman@example.net","653-956-8470","Alimentos"
"19","Anderson  Cook and Rodriguez","648 Janice Key Matthewberg  NC 41366","juan61@example.com","633-928-4640x5681","Libros"
"20","Frazier-Gonzales","305 Ryan Burgs Apt. 906 Wrightfort  HI 10443","denise50@example.org","(269)599-3268x197","Libros"
"21","Price and Sons","607 Annette Course North Danielleshire  AK 28709","amassey@example.net","7272515334","Jardineria"
"22","Schmidt  Hanna and Walls","97631 Anthony Via Apt. 417 Pageburgh  VI 82919","tylergarcia@example.net","4337348648","Ropa"
"23","Johnson-Lewis","019 Gabriella Forks Suite 136 West Annabury  MT 44540","hollyklein@example.com","001-229-576-4028x2541","Muebles"
"24","Wagner  Young and Rivera","7320 Xavier River Apt. 509 Millerland  MO 84958","jolsen@example.org","+1-453-962-6601x412","Muebles"
"25","Wright Inc","2741 John Hills Suite 553 West William  CT 34875","tinabell@example.net","+1-304-806-7051x30586","Muebles"
"26","Smith  Lyons and Miller","721 Johnson Spurs North Darlene  DC 43733","joshuaschmitt@example.net","(469)978-5403","Muebles"
"27","Joseph-Smith","7895 John Ridge Lake James  AS 27310","amber00@example.com","(307)307-4878x59280","Muebles"
"28","Avila PLC","757 Beard Forks Suite 237 Smithstad  DE 57941","taraharris@example.net","(379)786-5078x791","Jardineria"
"29","Jackson Inc","26176 Flores Ports Suite 265 Phyllisfort  VI 66914","bakeranthony@example.com","288-673-6374","Juguetes"
"30","Rose Ltd","522 Kristen Skyway Apt. 449 East Jimside  CT 92925","jgregory@example.net","409-468-6328x6360","Jardineria"
"31","Mitchell Ltd","709 Maria Turnpike Johnsonview  OK 19189","fieldslarry@example.org","463.205.3664x206","Muebles"
"32","Lee-Mcgee","7307 Timothy Forge Rogerston  ND 75389","whiteheaderic@example.org","343-257-0982x7844","Belleza"
"33","White LLC","9179 Tiffany River West Codyside  KS 13462","plittle@example.com","(994)216-1825x503","Electronica"
"34","Hinton Inc","5055 Wilcox Unions Richmondberg  ID 06744","samantha17@example.net","894-978-7496x420","Libros"
"35","Yang  Peterson and Gallegos","995 Steele Hills Apt. 181 Reyesview  CT 41728","brentroman@example.com","7374556623","Herramientas"
"36","Watson LLC","1237 Maxwell Views Suite 471 North Ashleyland  NY 32965","kellyanthony@example.org","(794)339-9622","Muebles"
"37","Hill  Valentine and Torres","69939 Richard Hill Suite 426 Jessefort  KS 34472","haynesjames@example.com","555-620-8517","Juguetes"
"38","Miller-Phillips","694 Gail Gateway South Michelle  VI 15940","terrypaula@example.org","657-541-4148x78678","Deportes"
"39","Wong PLC","978 Wilson Crossing Apt. 596 Cynthiashire  GU 79765","andrea38@example.com","(224)344-7397","Juguetes"
"40","Coffey-Hays","3892 John Mountain Gibsonborough  IA 86367","christopher88@example.org","927-208-8249x2866","Deportes"
"41","Newton-Rodgers","95115 Hernandez Plains Suite 993 Lake Kimberlybury  NY 32406","lisa60@example.org","(376)260-6203x407","Deportes"
"42","Hall Ltd","04379 Frank Manors North Jessica  OH 33245","wvaughn@example.net","(311)544-7608x9383","Belleza"
"43","Murillo-Hudson","1534 Moreno Gateway Zacharyfurt  NY 86902","ericayork@example.net","+1-668-797-8972","Deportes"
