id_almacen,id_publicidad,fecha_brindada,presupuesto,solicitud
1,1,2022-09-10,21268.58,Data own future.
1,2,2022-04-22,41119.37,Two make respond put.
1,3,2023-01-06,34163.52,Tv training specific.
1,4,2022-01-27,48743.2,Window animal someone sort.
1,5,2022-01-06,12991.87,Lead author teach practice.
1,6,2023-10-06,10395.92,Training western without Mr.
1,7,2024-02-03,33147.35,Check pass such.
1,8,2022-03-03,36281.41,Nearly last shake bag forget.
1,9,2023-04-18,32361.82,Forward ball sister wide.
1,10,2021-11-11,36958.74,Sell get write it subject.
1,11,2024-02-01,13147.08,Hospital above per nice.
1,12,2023-05-24,8929.35,Great step how all happen.
1,13,2021-09-09,5201.98,Total red ability door world.
1,14,2023-07-14,40472.81,Away great gas score.
1,15,2021-09-07,47280.29,Never what guy growth.
1,16,2022-12-19,36752.63,History per throw.
1,17,2022-06-27,47433.72,Radio science view.
1,18,2023-05-19,31088.57,Measure speak fill town.
1,19,2021-09-27,5742.02,Lawyer hot specific old.
1,20,2021-07-03,38521.91,Discover friend for machine.
1,21,2023-07-13,46048.15,Garden major behind bit.
1,22,2021-09-14,26906.91,Find pattern into.
1,23,2023-10-29,25367.89,Seven eye truth a.
1,24,2024-03-11,31589.22,Together according where can.
1,25,2021-11-23,34360.5,Real gas write.
1,26,2022-11-09,43336.95,Director window team up.
1,27,2022-03-16,14237.58,Capital enjoy military help.
1,28,2023-04-11,31546.93,Father reach student back.
1,29,2021-10-06,20971.73,Past available assume almost.
1,30,2022-11-27,26872.5,Arm popular on bit.
1,31,2023-04-02,18440.91,Year during list.
1,32,2022-04-28,47322.95,Him reduce subject you rock.
1,33,2021-05-22,45437.02,Short police throughout then.
1,34,2021-06-04,23724.91,Authority consider free.
1,35,2023-10-16,25693.92,Offer card ten attention.
1,36,2023-01-10,48193.65,People step fire.
1,37,2021-06-08,15588.03,Bag capital nice every.
1,38,2021-05-28,9949.28,How fish above year shoulder.
1,39,2021-09-16,30513.16,Above camera guess.
1,40,2021-09-15,24832.19,World goal use.
1,41,2023-06-18,45662.95,High nice phone rate.
1,42,2022-06-04,15947.34,Main data page compare TV.
1,43,2023-01-10,40607.57,Sound effect visit watch.
1,44,2022-01-12,5773.6,World mean choose.
1,45,2024-01-17,44781.99,Development add together.
1,46,2024-01-10,18868.06,Without with upon try fight.
